V(V),I(A),Ton(μs),Toff(μs),CD(μm),MRR(mm3/min),MRR actual,eta
30,5,100,25,14.03548616,22.61952,,0
30,5,300,75,28.23085221,20.73456,,0
30,5,500,125,36.03590834,18.095616,,0
30,5,700,175,41.00153139,16.96464,,0
30,15,50,12.5,20.578562,113.0976,,0
30,15,100,25,32.31990063,96.13296,,0
30,15,300,75,57.09824561,69.74352,,0
30,15,500,125,71.20707871,59.941728,,0
30,15,700,175,81.67664671,51.70176,,0
30,30,50,12.5,28.83855771,180.95616,,0
30,30,100,25,43.05223411,141.372,,0
30,30,300,75,74.33672525,111.21264,,0
30,30,500,125,93.02494551,95.001984,,0
30,30,700,175,107.034134,86.43888,,0
30,40,50,12.5,32.05606513,214.88544,,0
30,40,100,25,47.32181425,175.30128,,0
30,40,300,75,80.93366093,130.06224,,0
30,40,500,125,101.683585,109.704672,,0
30,40,700,175,117.2893501,101.78784,,0
40,5,50,12.5,10.46129789,33.92928,,0
40,5,100,25,18.79229623,45.23904,,0
40,5,300,75,36.06702619,32.04432,,0
40,5,500,125,45.35843592,27.143424,,0
40,5,700,175,51.60546282,23.42736,,0
40,15,50,12.5,24.72098316,124.40736,,0
40,15,100,25,36.97559469,118.75248,,0
40,15,300,75,64.13539506,81.05328,,0
40,15,500,125,80.15524625,72.382464,,0
40,15,700,175,92.28187919,51.70176,,0
40,30,50,12.5,32.05606513,214.88544,,0
40,30,100,25,47.3208752,175.30128,,0
40,30,300,75,80.93366093,130.06224,,0
40,30,500,125,101.683585,109.704672,,0
40,30,700,175,117.2893501,101.78784,,0
40,40,50,12.5,35.65210621,237.50496,,0
40,40,100,25,51.03541134,203.57568,,0
40,40,300,75,87.92191823,152.68176,,0
40,40,500,125,108.8178,130.06224,,0
40,40,700,175,127.409201,119.56032,,0
50,5,50,12.5,14.01846606,45.23904,,0
50,5,100,25,22.80569395,50.89392,,0
50,5,300,75,41.75824176,39.58416,,0
50,5,500,125,52.4699425,35.060256,,0
50,5,700,175,54.71830986,25.85088,,0
50,15,50,12.5,27.20925158,158.33664,,0
50,15,100,25,39.7840244,141.372,,0
50,15,300,75,66.08880779,90.47808,,0
50,15,500,125,82.65424165,76.906368,,0
50,15,700,175,98.14368,76.7448,,0
50,30,50,12.5,34.93275776,226.1952,,0
50,30,100,25,49.89333734,203.57568,,0
50,30,300,75,86.51746188,145.14192,,0
50,30,500,125,108.403245,124.40736,,0
50,30,700,175,125.2169421,113.90544,,0
50,40,50,12.5,37.79664179,294.05376,,0
50,40,100,25,54.74773609,220.54032,,0
50,40,300,75,93.14600551,165.87648,,0
50,40,500,125,117.049247,145.895904,,0
50,40,700,175,135.2261179,132.48576,,0
