"V(V)","I(A)","Ton(μs)","Toff(μs)","CD(μm)","MRR(mm3/min)","","","","","","","","",""
"30","5","100","25","14.035486160397","22.61952","","","","","","","","",""
"30","5","300","75","28.230852211435","20.73456","","","","","","","","",""
"30","5","500","125","36.035908339239","18.095616","","","","","","","","",""
"30","5","700","175","41.001531393568","16.96464","","","","","","","","",""
"30","15","50","12.5","20.578561997359","113.0976","","","","","","","","",""
"30","15","100","25","32.319900634833","96.13296","","","","","","","","",""
"30","15","300","75","57.098245614035","69.74352","","","","","","","","",""
"30","15","500","125","71.207078711041","59.941728","","","","","","","","",""
"30","15","700","175","81.676646706587","51.70176","","","","","","","","",""
"30","30","50","12.5","28.83855770973","180.95616","","","","","","","","",""
"30","30","100","25","43.052234109503","141.372","","","","","","","","",""
"30","30","300","75","74.336725254394","111.21264","","","","","","","","",""
"30","30","500","125","93.024945507387","95.001984","","","","","","","","",""
"30","30","700","175","107.03413400759","86.43888","","","","","","","","",""
"30","40","50","12.5","32.056065134494","214.88544","","","","","","","","",""
"30","40","100","25","47.32181425486","175.30128","","","","","","","","",""
"30","40","300","75","80.933660933661","130.06224","","","","","","","","",""
"30","40","500","125","101.6835850458","109.704672","","","","","","","","",""
"30","40","700","175","117.2893501359","101.78784","","","","","","","","",""
"40","5","50","12.5","10.461297888976","33.92928","","","","","","","","",""
"40","5","100","25","18.792296233241","45.23904","","","","","","","","",""
"40","5","300","75","36.067026194145","32.04432","","","","","","","","",""
"40","5","500","125","45.358435916003","27.143424","","","","","","","","",""
"40","5","700","175","51.605462822458","23.42736","","","","","","","","",""
"40","15","50","12.5","24.720983158853","124.40736","","","","","","","","",""
"40","15","100","25","36.975594686438","118.75248","","","","","","","","",""
"40","15","300","75","64.1353950594","81.05328","","","","","","","","",""
"40","15","500","125","80.155246252677","72.382464","","","","","","","","",""
"40","15","700","175","92.281879194631","51.70176","","","","","","","","",""
"40","30","50","12.5","32.056065134494","214.88544","","","","","","","","",""
"40","30","100","25","47.320875199549","175.30128","","","","","","","","",""
"40","30","300","75","80.933660933661","130.06224","","","","","","","","",""
"40","30","500","125","101.6835850458","109.704672","","","","","","","","",""
"40","30","700","175","117.2893501359","101.78784","","","","","","","","",""
"40","40","50","12.5","35.652106205715","237.50496","","","","","","","","",""
"40","40","100","25","51.035411337014","203.57568","","","","","","","","",""
"40","40","300","75","87.921918229327","152.68176","","","","","","","","",""
"40","40","500","125","108.8178","130.06224","","","","","","","","",""
"40","40","700","175","127.40920096852","119.56032","","","","","","","","",""
"50","5","50","12.5","14.018466058126","45.23904","","","","","","","","",""
"50","5","100","25","22.805693950178","50.89392","","","","","","","","",""
"50","5","300","75","41.758241758242","39.58416","","","","","","","","",""
"50","5","500","125","52.469942498693","35.060256","","","","","","","","",""
"50","5","700","175","54.718309859155","25.85088","","","","","","","","",""
"50","15","50","12.5","27.209251581933","158.33664","","","","","","","","",""
"50","15","100","25","39.784024400297","141.372","","","","","","","","",""
"50","15","300","75","66.088807785888","90.47808","","","","","","","","",""
"50","15","500","125","82.654241645244","76.906368","","","","","","","","",""
"50","15","700","175","98.14368","76.7448","","","","","","","","",""
"50","30","50","12.5","34.932757761913","226.1952","","","","","","","","",""
"50","30","100","25","49.893337339443","203.57568","","","","","","","","",""
"50","30","300","75","86.517461878997","145.14192","","","","","","","","",""
"50","30","500","125","108.40324495449","124.40736","","","","","","","","",""
"50","30","700","175","125.21694214876","113.90544","","","","","","","","",""
"50","40","50","12.5","37.796641791045","294.05376","","","","","","","","",""
"50","40","100","25","54.747736093144","220.54032","","","","","","","","",""
"50","40","300","75","93.146005509642","165.87648","","","","","","","","",""
"50","40","500","125","117.04924704925","145.895904","","","","","","","","",""
"50","40","700","175","135.22611788618","132.48576","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
