v,i,ton,toff,cd,mrr,mrra,eta
30,5,10,4,14.03548616,22.61952,,0
30,10,30,8,57.09824561,62.40209684,,0
30,20,50,8,93.02494551,88.45012303,,0
30,30,70,4,117.2893501,101.78784,,0
30,5,30,8,28.23085221,18.55197474,,0
30,10,50,8,71.20707871,55.80781572,,0
30,20,70,4,107.034134,86.43888,,0
30,30,10,4,47.32181425,175.30128,,0
30,5,50,8,36.03590834,16.84764248,,0
30,10,70,4,81.67664671,51.70176,,0
30,20,10,4,43.05223411,141.372,,0
30,30,30,8,80.93366093,116.3714779,,0
80,5,70,4,51.60546282,23.42736,,0
80,10,10,4,36.97559469,118.75248,,0
80,20,30,8,80.93366093,116.3714779,,0
80,30,50,8,108.8178,121.0924303,,0
80,5,10,4,18.79229623,45.23904,,0
80,10,30,8,64.13539506,72.52135579,,0
80,20,50,8,101.683585,102.1388326,,0
80,30,70,4,127.409201,119.56032,,0
80,5,30,8,36.06702619,28.67123368,,0
80,10,50,8,80.15524625,67.39056993,,0
80,20,70,4,117.2893501,101.78784,,0
80,30,10,4,51.03541134,203.57568,,0
120,5,50,8,52.4699425,32.64230731,,0
120,10,70,4,98.14368,76.7448,,0
120,20,10,4,49.89333734,203.57568,,0
120,30,30,8,93.14600551,148.4157979,,0
120,5,70,4,54.71830986,25.85088,,0
120,10,10,4,39.7840244,141.372,,0
120,20,30,8,86.51746188,129.8638232,,0
120,30,50,8,117.049247,135.8341175,,0
120,5,10,4,22.80569395,50.89392,,0
120,10,30,8,66.08880779,80.95407158,,0
120,20,50,8,108.403245,115.8275421,,0
120,30,70,4,135.2261179,132.48576,,0
